	MetConSIN	DirectDFBA	Difference	ABS_Difference	SameSign
bc1003##L-Isoleucine	-0.036989448823877384	-0.26077006	0.22378061117612263	0.22378061117612263	1.0
bc1001##L-Glutamine	-0.032525470197850126	-0.22929968	0.19677420980214988	0.19677420980214988	1.0
bc1012##Nicotinamide ribonucleotide	-0.0004421019711565395	-0.00411168	0.0036695780288434608	0.0036695780288434608	1.0
bc1012##Putrescine	-0.000442101971159282	-0.00411168	0.0036695780288407186	0.0036695780288407186	1.0
bc1012##4-Hydroxybenzoate	-0.0004421019711516016	-0.00411168	0.0036695780288483987	0.0036695780288483987	1.0
bc1009##O2	-1.0000000000000036	-7.04984988	6.0498498799999965	6.0498498799999965	1.0
bc1009##PPi	0.004445026090813448	0.03133677	-0.02689174390918655	0.02689174390918655	1.0
bc1009##4-Hydroxybenzoate	-0.00042988893126367437	-0.00303065	0.0026007610687363257	0.0026007610687363257	1.0
bc1009##BIOT	-0.00042988893128079555	-0.00303065	0.002600761068719205	0.002600761068719205	1.0
bc1009##TRHL	-0.009073984314173474	-0.06397023	0.05489624568582653	0.05489624568582653	1.0
bc1009##L-Tyrosine	-0.018487025729680893	-0.13033076	0.1118437342703191	0.1118437342703191	1.0
bc1003##L-Valine	-0.05388334073607267	-0.37986946	0.32598611926392734	0.32598611926392734	1.0
bc1001##AMP	-0.01181653456354351	-0.08330479	0.0714882554364565	0.0714882554364565	1.0
bc1003##Spermidine	-0.0004292759309391207	-0.00302633	0.002597054069060879	0.002597054069060879	1.0
bc1009##L-Aspartate	-0.030766231011385543	-0.21689731	0.18613107898861447	0.18613107898861447	1.0
bc1009##dGTP	-0.0018097948976956036	-0.01275878	0.010948985102304397	0.010948985102304397	1.0
bc1001##Glycine	-0.07640180747689031	-0.53862127	0.46221946252310975	0.46221946252310975	1.0
bc1001##L-Arginine	-0.037587065375346625	-0.26498317	0.22739610462465337	0.22739610462465337	1.0
bc1012##5-Aminolevulinate	-0.0035368157692586707	-0.0328934	0.029356584230741334	0.029356584230741334	1.0
bc1012##TRHL	-0.009331773999358771	-0.08678818	0.07745640600064124	0.07745640600064124	1.0
bc1009##L-Leucine	-0.057507611402659496	-0.40542003	0.3479124185973405	0.3479124185973405	1.0
bc1001##Sulfate	-0.0004275502482353914	-0.00301417	0.0025866197517646085	0.0025866197517646085	1.0
bc1012##L-Tryptophan	-0.00743652099171916	-0.06916178	0.061725259008280846	0.061725259008280846	1.0
bc1009##D-Glucose	-0.5488456961569521	-3.86927977	3.320434073843048	3.320434073843048	1.0
bc1003##4-Hydroxybenzoate	-0.0004292759309373705	-0.00302633	0.0025970540690626294	0.0025970540690626294	1.0
bc1009##Myristic acid	-0.015003555221392665	-0.10577281	0.09076925477860733	0.09076925477860733	1.0
bc1003##Cu2+	-0.0004292759309409354	-0.00302633	0.0025970540690590646	0.0025970540690590646	1.0
bc1001##L-Tyrosine	-0.01838645255725516	-0.12962173	0.11123527744274483	0.11123527744274483	1.0
bc1009##NADP	-0.0012896667938445713	-0.00909196	0.007802293206155428	0.007802293206155428	1.0
bc1012##CMP	-0.013250272756334582	-0.12323134	0.10998106724366541	0.10998106724366541	1.0
bc1001##BET	-0.0008551004964792141	-0.00602833	0.005173229503520786	0.005173229503520786	1.0
bc1003##L-Tryptophan	-0.007220776381825903	-0.05090539	0.0436846136181741	0.0436846136181741	1.0
bc1009##Zn2+	-0.0004298889312815434	-0.00303065	0.0026007610687184568	0.0026007610687184568	1.0
bc1012##Co2+	-0.0004421019711560652	-0.00411168	0.003669578028843935	0.003669578028843935	1.0
bc1003##BET	-0.0008585518618818924	-0.00605266	0.0051941081381181075	0.0051941081381181075	1.0
bc1009##dATP	-0.00266910464465084	-0.01881679	0.01614768535534916	0.01614768535534916	1.0
bc1001##dGTP	-0.0030887379286183027	-0.02177514	0.018686402071381697	0.018686402071381697	1.0
bc1009##L-Methionine	-0.018718732781068323	-0.13196426	0.11324552721893168	0.11324552721893168	1.0
O2##bc1012	0.0271632767247977	7.04984988	-7.022686603275202	7.022686603275202	1.0
bc1012##Zn2+	-0.00044210197115551676	-0.00411168	0.003669578028844484	0.003669578028844484	1.0
bc1012##BIOT	-0.0004421019711578531	-0.00411168	0.003669578028842147	0.003669578028842147	1.0
bc1012##Glycine	-0.07900215196879014	-0.73474271	0.6557405580312099	0.6557405580312099	1.0
bc1001##Niacin	0.00042755024822987357	0.00301417	-0.0025866197517701263	0.0025866197517701263	1.0
bc1001##Nitrite	0.0021377512411104673	0.01507083	-0.012933078758889533	0.012933078758889533	1.0
bc1009##CMP	-0.012884234782972315	-0.09083192	0.07794768521702768	0.07794768521702768	1.0
bc1009##1,2-Diacyl-sn-glycerol dioctadecanoyl	-0.019085216896820443	-0.13454791	0.11546269310317955	0.11546269310317955	1.0
bc1009##fe3	-0.0012896667938460304	-0.00909196	0.007802293206153969	0.007802293206153969	1.0
bc1001##Riboflavin	-0.001282650744711323	-0.0090425	0.0077598492552886774	0.0077598492552886774	1.0
bc1009##Cu2+	-0.0004298889312815406	-0.00303065	0.00260076106871846	0.00260076106871846	1.0
bc1003##Zn2+	-0.00042927593094197245	-0.00302633	0.002597054069058027	0.002597054069058027	1.0
bc1012##L-Alanine	-0.07136012469705832	-0.66366966	0.5923095353029417	0.5923095353029417	1.0
bc1001##ddca	-0.011362362432943146	-0.08010295	0.06874058756705687	0.06874058756705687	1.0
bc1009##Pyridoxal	-0.00042988893127938647	-0.00303065	0.002600761068720614	0.002600761068720614	1.0
bc1012##Cu2+	-0.00044210197115700223	-0.00411168	0.003669578028842998	0.003669578028842998	1.0
